Year,Month,North America,Europe,Rest of World,Total Remittances (USD '000)
2023,1,"212,010.98","59,838.87","77,541.98","349,391.83"
2023,2,"189,034.56","56,820.89","63,317.25","309,172.70"
2023,3,"212,079.84","66,569.69","78,330.94","356,980.47"
2023,4,"187,888.79","53,533.53","78,894.28","320,316.60"
2023,5,"195,185.70","62,490.54","94,429.56","352,105.80"
2023,6,"195,529.61","67,010.50","83,322.71","345,862.82"
2023,7,"217,951.73","69,959.78","90,141.50","378,053.01"
2023,8,"202,090.24","61,163.92","91,178.68","354,432.84"
2023,9,"194,744.39","66,816.87","78,882.91","340,444.18"
2023,10,"202,739.19","64,521.36","88,363.28","355,623.83"
2023,11,"203,179.64","61,640.97","90,145.57","354,966.18"
2022,1,"215,528.88","57,828.80","65,362.07","338,719.75"
2022,2,"182,405.81","66,515.55","72,610.42","321,531.78"
2022,3,"222,531.25","64,222.13","76,828.28","363,581.66"
2022,4,"219,152.83","61,026.35","74,857.97","355,037.15"
2022,5,"203,366.18","60,537.34","75,779.71","339,683.23"
2022,6,"192,716.73","59,207.66","74,135.40","326,059.79"
2022,7,"192,757.71","55,940.13","70,706.45","319,404.29"
2022,8,"186,466.96","54,740.40","69,299.67","310,507.04"
2022,9,"192,844.04","55,491.70","69,645.25","317,980.99"
2022,10,"198,262.67","62,972.65","71,394.00","332,629.31"
2022,11,"200,404.95","67,185.24","77,858.47","345,448.67"
2022,12,"206,211.25","67,802.06","83,285.37","357,298.68"
2021,1,"177,413.63","46,034.91","54,898.11","278,346.65"
2021,2,"160,892.74","50,423.35","48,969.68","260,285.77"
2021,3,"171,144.37","63,775.42","55,851.40","290,771.19"
2021,4,"179,810.14","64,566.83","54,913.42","299,290.39"
2021,5,"190,748.28","68,658.03","56,395.50","315,801.81"
2021,6,"189,374.46","62,956.17","53,571.09","305,901.72"
2021,7,"206,435.23","71,285.77","58,990.49","336,711.49"
2021,8,"192,976.36","59,252.77","60,702.06","312,931.20"
2021,9,"199,697.86","53,208.89","56,897.68","309,804.43"
2021,10,"226,235.88","47,744.68","63,432.00","337,412.55"
2021,11,"215,252.99","42,509.66","62,310.97","320,073.62"
2021,12,"227,510.39","52,835.01","70,216.98","350,562.38"
2020,1,"124,974.18","46,186.59","88,231.94","259,392.71"
2020,2,"111,226.07","39,013.19","68,752.67","218,991.93"
2020,3,"127,925.66","45,431.94","55,453.18","228,810.78"
2020,4,"118,708.75","34,944.72","54,564.26","208,217.73"
2020,5,"145,945.88","42,655.89","69,548.29","258,150.07"
2020,6,"147,297.12","43,803.61","97,443.64","288,544.37"
2020,7,"144,183.77","47,761.97","85,041.94","276,987.67"
2020,8,"159,722.80","47,591.46","66,824.18","274,138.44"
2020,9,"161,256.18","39,333.83","60,082.40","260,672.41"
2020,10,"164,752.46","43,387.69","54,960.74","263,100.89"
2020,11,"156,086.75","46,800.53","54,798.36","257,685.65"
2020,12,"182,336.71","59,920.22","57,322.32","299,579.26"
2019,1,"108,377.16","83,015.09","53,440.81","244,833.06"
2019,2,"96,743.53","62,333.08","39,997.04","199,073.65"
2019,3,"116,998.61","43,704.82","61,222.54","221,925.97"
2019,4,"115,725.09","58,308.35","71,326.08","245,359.52"
2019,5,"118,251.50","51,739.99","73,201.84","243,193.33"
2019,6,"113,060.09","93,600.29","88,656.60","295,316.98"
2019,7,"108,511.60","45,583.18","70,392.54","224,487.33"
2019,8,"110,857.53","43,483.59","59,972.83","214,313.94"
2019,9,"109,494.80","40,954.12","64,204.79","214,653.71"
2019,10,"110,113.09","46,463.95","67,720.14","224,297.19"
2019,11,"110,840.57","43,574.87","64,429.31","218,844.75"
2019,12,"123,986.76","50,249.37","76,071.61","250,307.74"
2018,1,"116,399.30","64,936.08","27,586.18","208,921.56"
2018,2,"115,971.11","63,816.12","30,574.35","210,361.58"
2018,3,"122,824.05","68,961.31","30,437.19","222,222.55"
2018,4,"114,023.03","72,617.29","30,461.15","217,101.47"
2018,5,"122,804.32","85,158.35","45,771.38","253,734.04"
2018,6,"130,069.51","84,284.93","51,832.14","266,186.58"
2018,7,"119,099.59","69,110.37","27,058.52","215,268.48"
2018,8,"111,239.62","71,530.24","32,786.46","215,556.38"
2018,9,"112,150.02","62,364.95","30,619.83","205,134.80"
2018,10,"109,489.10","70,122.59","39,596.29","219,207.98"
2018,11,"104,804.21","72,280.08","43,131.05","220,215.34"
2018,12,"109,662.95","77,410.41","56,478.27","243,551.63"
2017,1,"66,391.21","44,119.35","31,892.54","142,403.10"
2017,2,"65,326.37","46,686.26","30,653.19","142,665.82"
2017,3,"69,975.64","48,958.00","28,596.10","147,529.74"
2017,4,"70,821.58","44,765.29","23,017.34","138,604.21"
2017,5,"77,297.81","55,441.04","28,761.94","161,500.79"
2017,6,"76,199.74","54,972.83","23,703.49","154,876.06"
2017,7,"73,485.90","54,511.54","24,311.83","152,309.27"
2017,8,"86,261.06","55,640.74","24,509.92","166,411.72"
2017,9,"101,047.32","53,706.19","21,344.66","176,098.17"
2017,10,"104,480.91","55,296.43","25,726.53","185,503.87"
2017,11,"97,826.67","53,770.60","23,583.92","175,181.19"
2017,12,"114,388.29","61,244.18","28,187.36","203,819.83"
2016,1,"63,516.78","40,630.03","33,346.85","137,493.66"
2016,2,"62,011.30","41,798.22","33,169.46","136,978.98"
2016,3,"68,851.76","43,807.06","28,448.09","141,106.91"
2016,4,"72,073.42","40,622.10","30,829.98","143,525.50"
2016,5,"68,708.94","46,615.85","31,435.13","146,759.92"
2016,6,"69,922.45","41,988.44","34,747.47","146,658.36"
2016,7,"65,506.33","40,494.70","28,660.36","134,661.39"
2016,8,"70,877.31","43,276.03","32,590.94","146,744.28"
2016,9,"72,598.20","42,151.73","28,438.39","143,188.32"
2016,10,"74,182.45","42,035.32","26,336.75","142,554.52"
2016,11,"75,534.79","42,486.12","25,669.73","143,690.64"
2016,12,"82,154.35","46,782.18","32,004.12","160,940.65"
2015,1,"53,228.85","30,656.74","30,756.77","114,642.36"
2015,2,"60,834.47","31,819.87","30,581.86","123,236.20"
2015,3,"62,735.60","32,284.24","31,239.55","126,259.39"
2015,4,"60,482.54","32,908.33","31,082.36","124,473.23"
2015,5,"57,296.77","39,796.60","32,008.06","129,101.43"
2015,6,"67,053.80","37,298.66","31,610.51","135,962.97"
2015,7,"61,608.52","36,336.41","33,109.82","131,054.75"
2015,8,"64,163.08","36,733.37","32,052.89","132,949.34"
2015,9,"61,922.01","37,356.90","29,204.93","128,483.84"
2015,10,"69,670.34","39,256.58","28,218.68","137,145.60"
2015,11,"60,339.72","37,388.03","32,990.50","130,718.25"
2015,12,"66,428.81","43,215.22","24,360.80","134,004.83"
2014,1,"56,036.80","28,939.60","25,992.49","110,968.89"
2014,2,"54,589.92","29,936.23","25,894.98","110,421.13"
2014,3,"61,418.59","29,950.93","28,215.24","119,584.76"
2014,4,"52,849.47","33,912.31","26,647.17","113,408.95"
2014,5,"56,622.31","34,348.64","28,685.60","119,656.55"
2014,6,"52,834.54","32,153.69","31,076.14","116,064.37"
2014,7,"52,618.44","31,374.31","33,108.22","117,100.97"
2014,8,"64,008.99","31,522.78","33,294.08","128,825.85"
2014,9,"60,032.06","34,524.98","32,842.02","127,399.06"
2014,10,"57,089.61","34,350.68","29,467.08","120,907.37"
2014,11,"51,988.55","32,769.97","29,213.46","113,971.98"
2014,12,"57,405.85","36,057.64","36,708.50","130,172.00"
2013,1,"51,721.09","27,770.51","23,477.77","102,969.37"
2013,2,"48,821.16","29,039.14","24,511.39","102,371.69"
2013,3,"50,956.91","29,308.39","23,127.35","103,392.65"
2013,4,"51,286.85","28,326.94","25,378.79","104,992.58"
2013,5,"57,606.89","28,974.36","23,568.28","110,149.53"
2013,6,"48,076.88","28,250.44","23,481.18","99,808.50"
2013,7,"55,662.70","33,033.81","24,137.31","112,833.82"
2013,8,"52,252.30","28,566.89","26,229.98","107,049.17"
2013,9,"49,837.84","29,898.83","27,715.00","107,451.67"
2013,10,"50,577.22","31,552.60","30,788.71","112,918.53"
2013,11,"51,545.58","34,400.56","27,474.29","113,420.43"
2013,12,"56,008.76","30,489.86","26,717.84","113,216.46"
2012,1,"44,017.53","24,393.57","21,344.04","89,755.14"
2012,2,"52,021.57","29,271.13","22,677.74","103,970.44"
2012,3,"57,581.67","28,452.44","20,164.33","106,198.44"
2012,4,"47,294.47","26,756.92","21,573.59","95,624.98"
2012,5,"51,726.21","28,131.04","21,137.68","100,994.93"
2012,6,"44,773.13","29,805.83","24,909.29","99,488.25"
2012,7,"41,694.36","26,568.91","24,473.18","92,736.45"
2012,8,"41,248.42","30,029.83","23,541.17","94,819.42"
2012,9,"42,985.08","26,264.37","23,269.11","92,518.56"
2012,10,"44,472.75","25,402.20","21,752.17","91,627.12"
2012,11,"49,555.26","25,197.08","22,751.88","97,504.22"
2012,12,"52,088.43","29,305.28","24,262.71","105,656.42"
2011,1,"35,629.61","15,965.56","12,543.83","64,139.00"
2011,2,"32,242.98","16,637.39","11,878.87","60,759.24"
2011,3,"37,946.05","19,268.01","14,342.79","71,556.85"
2011,4,"39,097.83","18,223.31","12,749.56","70,070.70"
2011,5,"34,462.62","19,462.05","14,199.33","68,124.00"
2011,6,"38,815.53","18,695.45","14,377.46","71,888.44"
2011,7,"36,891.57","20,938.69","14,966.97","72,797.23"
2011,8,"41,429.53","20,442.07","17,691.89","79,563.49"
2011,9,"41,384.14","23,791.96","19,678.11","84,854.21"
2011,10,"38,337.92","23,826.76","19,146.31","81,310.99"
2011,11,"38,493.00","24,056.00","18,253.00","80,802.00"
2011,12,"42,077.69","24,728.61","18,438.00","85,244.30"
2010,1,"23,748.83","12,314.45","9,053.63","45,116.91"
2010,2,"24,967.77","12,692.54","8,763.05","46,423.36"
2010,3,"27,786.65","14,298.47","10,223.84","52,308.96"
2010,4,"27,408.08","15,696.22","9,574.55","52,678.85"
2010,5,"27,478.58","14,150.11","9,543.76","51,172.45"
2010,6,"30,484.59","13,518.99","8,537.10","52,540.68"
2010,7,"27,701.52","13,727.70","9,222.95","50,652.17"
2010,8,"27,379.31","13,996.93","10,616.35","51,992.59"
2010,9,"30,908.84","15,239.36","12,409.04","58,557.24"
2010,10,"30,089.80","16,035.70","12,377.95","58,503.45"
2010,11,"30,161.57","14,481.09","11,736.92","56,379.58"
2010,12,0,0,0,"65,617.00"
2009,1,"19,288.32","11,313.49","8,933.50","39,535.31"
2009,2,"25,874.07","11,956.59","15,522.07","53,352.73"
2009,3,"30,611.74","13,087.83","11,660.96","55,360.53"
2009,4,"26,579.65","12,864.27","8,672.62","48,116.54"
2009,5,"27,088.73","12,603.80","9,487.69","49,180.22"
2009,6,"25,359.02","11,345.23","9,642.87","46,347.13"
2009,7,"26,049.04","11,894.23","12,428.85","50,372.12"
2009,8,"25,385.36","13,391.53","17,169.66","55,946.55"
2009,9,"28,286.47","14,866.91","10,193.80","53,347.00"
2009,10,"27,530.84","14,692.25","10,813.98","53,037.00"
2009,11,"24,765.85","12,881.97","10,583.03","48,230.85"
2009,12,"29,199.06","16,837.49","10,292.43","56,328.98"
2008,1,0,0,0,"53,925.00"
2008,2,"24,470.22","16,648.68","9,263.45","50,382.35"
2008,3,"33,724.82","18,267.35","7,351.98","59,344.15"
2008,4,"35,329.98","19,459.96","13,081.84","67,871.79"
2008,5,"24,414.39","16,304.27","7,819.32","48,537.97"
2008,6,"28,040.06","13,892.55","7,557.39","49,490.00"
2008,7,"17,725.40","18,998.99","7,412.43","44,136.82"
2008,8,"20,420.14","14,495.39","8,472.13","43,387.67"
2008,9,"24,131.12","14,485.81","10,336.07","48,953.00"
2008,10,"34,099.68","14,982.51","12,030.70","61,112.90"
2008,11,"20,463.04","13,058.38","10,448.81","43,970.23"
2008,12,"20,293.36","11,921.45","7,913.86","40,128.68"
2007,1,"21,329.89","14,111.16","5,489.31","40,930.36"
2007,2,"21,896.54","13,014.66","4,621.87","39,533.07"
2007,3,"23,496.60","18,612.86","6,451.54","48,561.00"
2007,4,"21,025.26","12,159.31","5,066.34","38,250.91"
2007,5,"22,776.71","12,517.02","5,869.77","41,163.50"
2007,6,"15,962.11","27,060.58","5,620.26","48,642.95"
2007,7,"29,197.53","16,045.27","8,108.04","53,350.83"
2007,8,"28,095.13","18,953.16","11,755.03","58,803.32"
2007,9,"28,388.41","20,997.18","11,189.51","60,575.10"
2007,10,"23,621.75","15,592.57","7,633.45","46,847.77"
2007,11,"32,985.15","13,320.65","9,258.30","55,564.09"
2007,12,"20,247.41","14,781.58","6,391.52","41,420.52"
2006,1,0,0,0,"31,506.00"
2006,2,0,0,0,"30,283.00"
2006,3,0,0,0,"36,354.00"
2006,4,0,0,0,"35,369.00"
2006,5,0,0,0,"42,427.00"
2006,6,0,0,0,"35,667.00"
2006,7,0,0,0,"41,065.00"
2006,8,0,0,0,"30,586.68"
2006,9,0,0,0,"28,840.55"
2006,10,0,0,0,"29,632.66"
2006,11,0,0,0,"31,402.87"
2006,12,0,0,0,"34,458.82"
2005,1,0,0,0,"28,564.00"
2005,2,0,0,0,"26,056.00"
2005,3,0,0,0,"31,219.00"
2005,4,0,0,0,"29,216.00"
2005,5,0,0,0,"32,358.00"
2005,6,0,0,0,"34,360.00"
2005,7,0,0,0,"29,133.00"
2005,8,0,0,0,"31,759.00"
2005,9,0,0,0,"31,616.00"
2005,10,0,0,0,"33,037.00"
2005,11,0,0,0,"34,282.00"
2005,12,0,0,0,"40,557.00"
2004,1,0,0,0,"25,154.00"
2004,2,0,0,0,"27,676.00"
2004,3,0,0,0,"29,944.00"
2004,4,0,0,0,"27,773.00"
2004,5,0,0,0,"26,931.00"
2004,6,0,0,0,"30,047.00"
2004,7,0,0,0,"33,187.00"
2004,8,0,0,0,"28,894.00"
2004,9,0,0,0,"28,894.00"
2004,10,0,0,0,"25,223.00"
2004,11,0,0,0,"25,473.00"
2004,12,0,0,0,"29,130.00"
